2025-07-29 00:41:03 | INFO | cache_service:cleanup_old_cache:204 | Cache nettoyé: entrées plus anciennes que 30 jours supprimées
2025-07-29 00:41:03 | INFO | main:lifespan:54 | Arrêt de l'application
2025-07-29 00:41:03 | INFO | database:close_connections:107 | Connexion MongoDB fermée
2025-07-29 00:41:03 | INFO | database:close_connections:111 | Connexion SQLite fermée
2025-07-29 00:41:07 | INFO | main:lifespan:37 | Démarrage de l'application SIO Audit Backend
2025-07-29 00:41:07 | INFO | database:connect_mongodb:26 | Connecté à MongoDB: mongodb://localhost:27017/auditdb
2025-07-29 00:41:07 | INFO | database:_create_sqlite_tables:101 | Tables SQLite créées avec succès
2025-07-29 00:41:07 | INFO | database:connect_sqlite:50 | Connecté à SQLite: ./cache/chatbot_cache.db
2025-07-29 00:41:07 | INFO | cache_service:cleanup_old_cache:204 | Cache nettoyé: entrées plus anciennes que 30 jours supprimées
2025-07-29 02:19:01 | INFO | main:lifespan:54 | Arrêt de l'application
2025-07-29 02:19:01 | INFO | database:close_connections:107 | Connexion MongoDB fermée
2025-07-29 02:19:01 | INFO | database:close_connections:111 | Connexion SQLite fermée
2025-07-29 02:19:08 | INFO | main:lifespan:37 | Démarrage de l'application SIO Audit Backend
2025-07-29 02:19:09 | INFO | database:connect_mongodb:26 | Connecté à MongoDB: mongodb://localhost:27017/auditdb
2025-07-29 02:19:09 | INFO | database:_create_sqlite_tables:101 | Tables SQLite créées avec succès
2025-07-29 02:19:09 | INFO | database:connect_sqlite:50 | Connecté à SQLite: ./cache/chatbot_cache.db
2025-07-29 02:19:09 | INFO | cache_service:cleanup_old_cache:204 | Cache nettoyé: entrées plus anciennes que 30 jours supprimées
2025-07-29 02:19:12 | INFO | main:lifespan:37 | Démarrage de l'application SIO Audit Backend
2025-07-29 02:19:12 | INFO | database:connect_mongodb:26 | Connecté à MongoDB: mongodb://localhost:27017/auditdb
2025-07-29 02:19:12 | INFO | database:_create_sqlite_tables:101 | Tables SQLite créées avec succès
2025-07-29 02:19:12 | INFO | database:connect_sqlite:50 | Connecté à SQLite: ./cache/chatbot_cache.db
2025-07-29 02:19:12 | INFO | cache_service:cleanup_old_cache:204 | Cache nettoyé: entrées plus anciennes que 30 jours supprimées
2025-07-29 02:27:58 | INFO | main:lifespan:54 | Arrêt de l'application
2025-07-29 02:27:58 | INFO | database:close_connections:107 | Connexion MongoDB fermée
2025-07-29 02:27:58 | INFO | database:close_connections:111 | Connexion SQLite fermée
2025-07-29 02:28:03 | INFO | main:lifespan:37 | Démarrage de l'application SIO Audit Backend
2025-07-29 02:28:03 | INFO | database:connect_mongodb:26 | Connecté à MongoDB: mongodb://localhost:27017/auditdb
